"","IRIS","population"
"1005","771220404",453
"1006","771310101",1094
"1007","771310102",881
"1008","771310201",1115
"1009","771310202",708
"1010","771310301",1799
"1011","771390101",2694
"1012","771390102",3596
"1013","771520101",908
"1014","771520102",23
"1015","771520201",1147
"1016","771520202",309
"1017","771520203",511
"1018","771520204",933
"1019","771520205",12
"1020","771520301",1797
"1021","771520302",827
"1022","771520303",304
"1023","771520401",1775
"1024","771530101",5410
"1025","771530102",2573
"1026","771530103",2115
"1027","771690101",4002
"1028","771690102",3377
"1029","771710101",3892
"1030","771710102",2239
"1031","771830101",4110
"1032","771830102",5251
"1033","771860101",746
"1034","771860102",915
"1035","771860103",640
"1036","771860104",776
"1037","771860105",590
"1038","771860106",1148
"1039","771860107",788
"1040","771860108",45
"1041","772150101",3753
"1042","772150102",2256
"1043","772150103",2557
"1044","772430101",236
"1045","772430102",1542
"1046","772430103",1333
"1047","772430201",1222
"1048","772430202",1004
"1049","772430301",717
"1050","772430302",996
"1051","772430303",868
"1052","772490101",2805
"1053","772490102",2313
"1054","772490103",2005
"1055","772510104",363
"1056","772510105",428
"1057","772510106",3617
"1058","772580101",1119
"1059","772580102",1011
"1060","772580103",714
"1061","772580104",90
"1062","772580201",934
"1063","772580202",870
"1064","772840102",1030
"1065","772840103",1855
"1066","772840201",11
"1067","772840202",627
"1068","772840203",1212
"1069","772840204",706
"1070","772840301",620
"1071","772840302",636
"1072","772840401",475
"1073","772840402",1009
"1074","772840403",1016
"1075","772840501",509
"1076","772840502",1175
"1077","772840503",1004
"1078","772840504",450
"1079","772840602",377
"1080","772840603",1017
"1081","772840701",1651
"1082","772840702",1475
"1083","772840801",1084
"1084","772840802",774
"1085","772840901",1574
"1086","772840902",957
"1087","772850101",1074
"1088","772850102",1586
"1089","772850103",616
"1090","772850104",0
"1091","772850201",747
"1092","772850202",1424
"1093","772850203",864
"1094","772850204",705
"1095","772850301",553
"1096","772880101",574
"1097","772880102",1190
"1098","772880103",770
"1099","772880201",992
"1100","772880202",854
"1101","772880203",876
"1102","772880301",2099
"1103","772880401",2253
"1104","772880501",987
"1105","772880502",937
"1106","772880503",1051
"1107","772880601",619
"1108","772880602",1408
"1109","772880603",1277
"1110","772940101",1564
"1111","772940102",106
"1112","772940103",1433
"1113","772940201",766
"1114","772940202",1639
"1115","772940203",2148
"1116","772940301",277
"1117","772960101",1240
"1118","772960102",1088
"1119","772960103",1471
"1120","772960105",66
"1121","772960106",1782
"1122","772960107",1184
"1123","773050101",972
"1124","773050102",548
"1125","773050103",692
"1126","773050104",1724
"1127","773050105",1148
"1128","773050201",79
"1129","773050202",1285
"1130","773050203",1515
"1131","773160101",4172
"1132","773160102",3214
"1133","773160103",4751
"1134","773260101",1900
"1135","773260102",2221
"1136","773260103",1908
"1137","773270101",3469
"1138","773270102",2149
"1139","773270103",2964
"1140","773300101",3036
"1141","773300102",3084
"1142","773330101",1950
"1143","773330102",470
"1144","773330103",587
"1145","773330104",727
"1146","773330201",1250
"1147","773370101",796
"1148","773370201",731
"1149","773370202",781
"1150","773370203",892
"1151","773370204",524
"1152","773370205",1027
"1153","773370206",648
"1154","773490101",3063
"1155","773490102",3639
"1156","773500101",1593
"1157","773500201",1476
"1158","773500301",1290
"1159","773500302",553
"1160","773500303",456
"1161","773500401",958
"1162","773500402",702
"1163","773500501",627
"1164","773500601",66
"1165","773730101",2812
"1166","773730102",976
"1167","773730103",1187
"1168","773730201",1283
"1169","773730301",754
"1170","773730401",1175
"1171","773730402",1995
"1172","773730501",3
"1173","773730502",1473
"1174","773730503",1528
"1175","773730504",1649
"1176","773790101",721
"1177","773790102",604
"1178","773790103",1347
"1179","773790201",802
"1180","773790202",1068
"1181","773900101",2042
"1182","773900102",693
"1183","773900201",837
"1184","773900202",504
"1185","773900203",841
"1186","773900301",1130
"1187","773900302",1034
"1188","773900401",1413
"1189","773900501",63
"1190","774070101",452
"1191","774070102",867
"1192","774070103",1548
"1193","774070104",780
"1194","774070105",456
"1195","774070106",1236
"1196","774310101",2609
"1197","774310102",2680
"1198","774380101",1984
"1199","774380102",4178
"1200","774450101",836
"1201","774450102",780
"1202","774450201",2088
"1203","774450202",992
"1204","774450203",1526
"1205","774450301",1338
"1206","774450302",991
"1207","774450401",2789
"1208","774450402",186
"1209","774580101",2817
"1210","774580102",2457
"1211","774640101",4259
"1212","774640102",2204
